cidade,lat,lon,regiao
Luislândia,-16.1095,-44.5886,Norte de Minas
Luminárias,-21.5145,-44.9034,Campo das Vertentes
Luz,-19.7911,-45.6794,Central Mineira
Machacalis,-17.0723,-40.7245,Vale do Mucuri
Machado,-21.6778,-45.9219,Sul/Sudoeste de Minas
Madre de Deus de Minas,-21.483,-44.3287,Campo das Vertentes
Malacacheta,-17.8456,-42.0769,Vale do Mucuri
Mamonas,-15.0479,-42.9469,Norte de Minas
Manga,-14.7529,-43.9391,Norte de Minas
Manhuaçu,-20.2572,-42.028,Zona da Mata
Manhumirim,-20.3591,-41.9589,Zona da Mata
Mantena,-18.7761,-40.9874,Vale do Rio Doce
Mar de Espanha,-21.8707,-43.0062,Zona da Mata
Maravilhas,-19.5076,-44.6779,Metropolitana de Belo Horizonte
Maria da Fé,-22.3044,-45.3773,Sul/Sudoeste de Minas
Mariana,-20.3765,-43.414,Metropolitana de Belo Horizonte
Marilac,-18.5079,-42.0822,Vale do Rio Doce
Mário Campos,-20.0582,-44.1883,Metropolitana de Belo Horizonte
Maripá de Minas,-21.6979,-42.9546,Zona da Mata
Marliéria,-19.7096,-42.7327,Vale do Rio Doce
Marmelópolis,-22.447,-45.1645,Sul/Sudoeste de Minas
Martinho Campos,-19.3306,-45.2434,Central Mineira
Martins Soares,-20.2546,-41.8786,Zona da Mata
Mata Verde,-15.6869,-40.7366,Jequitinhonha
Materlândia,-18.4699,-43.0579,Vale do Rio Doce
Mateus Leme,-19.9794,-44.4318,Metropolitana de Belo Horizonte
Mathias Lobato,-18.59,-41.9166,Vale do Rio Doce
Matias Barbosa,-21.869,-43.3135,Zona da Mata
Matias Cardoso,-14.8563,-43.9146,Norte de Minas
Matipó,-20.2873,-42.3401,Zona da Mata
Mato Verde,-15.3944,-42.86,Norte de Minas
Matozinhos,-19.5543,-44.0868,Metropolitana de Belo Horizonte
Matutina,-19.2179,-45.9664,Triângulo Mineiro/Alto Paranaíba
Medeiros,-19.9865,-46.2181,Oeste de Minas
Medina,-16.2245,-41.4728,Jequitinhonha
Mendes Pimentel,-18.6631,-41.4052,Vale do Rio Doce
Mercês,-21.1976,-43.3337,Zona da Mata
Mesquita,-19.224,-42.6079,Vale do Rio Doce
Minas Novas,-17.2156,-42.5884,Jequitinhonha
Minduri,-21.6797,-44.6051,Sul/Sudoeste de Minas
Mirabela,-16.256,-44.1602,Norte de Minas
Miradouro,-20.8899,-42.3458,Zona da Mata
Miraí,-21.2021,-42.6122,Zona da Mata
Miravânia,-14.7348,-44.4092,Norte de Minas
Moeda,-20.3399,-44.0509,Metropolitana de Belo Horizonte
Moema,-19.8387,-45.4127,Central Mineira
Monjolos,-18.3245,-44.118,Central Mineira
Monsenhor Paulo,-21.7579,-45.5391,Sul/Sudoeste de Minas
Montalvânia,-14.4197,-44.3719,Norte de Minas
Monte Alegre de Minas,-18.869,-48.881,Triângulo Mineiro/Alto Paranaíba
Monte Azul,-15.1514,-42.8718,Norte de Minas
Monte Belo,-21.3271,-46.3635,Sul/Sudoeste de Minas
Monte Carmelo,-18.7302,-47.4912,Triângulo Mineiro/Alto Paranaíba
Monte Formoso,-16.8691,-41.2473,Jequitinhonha
Monte Santo de Minas,-21.1873,-46.9753,Sul/Sudoeste de Minas
Monte Sião,-22.4335,-46.573,Sul/Sudoeste de Minas
Montes Claros,-16.7282,-43.8578,Norte de Minas
Montezuma,-15.1702,-42.4941,Norte de Minas
Morada Nova de Minas,-18.5998,-45.3584,Central Mineira
Morro da Garça,-18.5356,-44.601,Central Mineira
Morro do Pilar,-19.2236,-43.3795,Metropolitana de Belo Horizonte
Munhoz,-22.6092,-46.362,Sul/Sudoeste de Minas
Muriaé,-21.13,-42.3693,Zona da Mata
Mutum,-19.8121,-41.4407,Vale do Rio Doce
Muzambinho,-21.3692,-46.5213,Sul/Sudoeste de Minas
Nacip Raydan,-18.4544,-42.2481,Vale do Rio Doce
Nanuque,-17.8481,-40.3533,Vale do Mucuri
Naque,-19.2291,-42.3312,Vale do Rio Doce
Natalândia,-16.5021,-46.4874,Noroeste de Minas
Natércia,-22.1158,-45.5123,Sul/Sudoeste de Minas
Nazareno,-21.2168,-44.6138,Campo das Vertentes
Nepomuceno,-21.2324,-45.235,Campo das Vertentes
Ninheira,-15.3148,-41.7564,Norte de Minas
Nova Belém,-18.4925,-41.1107,Vale do Rio Doce
Nova Era,-19.7577,-43.0333,Metropolitana de Belo Horizonte
Nova Lima,-19.9758,-43.8509,Metropolitana de Belo Horizonte
Nova Módica,-18.4417,-41.4984,Vale do Rio Doce
Nova Ponte,-19.1461,-47.6779,Triângulo Mineiro/Alto Paranaíba
Nova Porteirinha,-15.7993,-43.2941,Norte de Minas
Nova Resende,-21.1286,-46.4157,Sul/Sudoeste de Minas
Nova Serrana,-19.8713,-44.9847,Oeste de Minas
Nova União,-19.6876,-43.583,Metropolitana de Belo Horizonte
Novo Cruzeiro,-17.4654,-41.8826,Jequitinhonha
Novo Oriente de Minas,-17.4089,-41.2194,Vale do Mucuri
Novorizonte,-16.0162,-42.4044,Norte de Minas
Olaria,-21.8598,-43.9356,Zona da Mata
Olhos d'Água,-17.3982,-43.5719,
Olímpio Noronha,-22.0685,-45.2657,Sul/Sudoeste de Minas
Oliveira,-20.6982,-44.829,Oeste de Minas
Oliveira Fortes,-21.3401,-43.4499,Zona da Mata
Onça de Pitangui,-19.7276,-44.8058,Metropolitana de Belo Horizonte
Oratórios,-20.4298,-42.7977,Zona da Mata
Orizânia,-20.5142,-42.1991,Zona da Mata
Ouro Branco,-20.5263,-43.6962,Metropolitana de Belo Horizonte
Ouro Fino,-22.2779,-46.3716,Sul/Sudoeste de Minas
Ouro Preto,-20.3796,-43.512,Metropolitana de Belo Horizonte
Ouro Verde de Minas,-18.0719,-41.2734,Vale do Mucuri
Padre Carvalho,-16.3646,-42.5088,Norte de Minas
Padre Paraíso,-17.0758,-41.4821,Jequitinhonha
Pai Pedro,-15.5271,-43.07,Norte de Minas
Paineiras,-18.8993,-45.5321,Central Mineira
Pains,-20.3705,-45.6627,Oeste de Minas
Paiva,-21.2913,-43.4088,Zona da Mata
Palma,-21.3748,-42.3123,Zona da Mata
Palmópolis,-16.7364,-40.4296,Jequitinhonha
Papagaios,-19.4419,-44.7468,Metropolitana de Belo Horizonte
Pará de Minas,-19.8534,-44.6114,Metropolitana de Belo Horizonte
Paracatu,-17.2252,-46.8711,Noroeste de Minas
Paraguaçu,-21.5465,-45.7374,Sul/Sudoeste de Minas
Paraisópolis,-22.5539,-45.7803,Sul/Sudoeste de Minas
Paraopeba,-19.2732,-44.4044,Metropolitana de Belo Horizonte
Passa Quatro,-22.3871,-44.9709,Sul/Sudoeste de Minas
Passa Tempo,-20.6539,-44.4926,Oeste de Minas
Passa-Vinte,-22.2097,-44.2344,
Passabém,-19.3509,-43.1383,Metropolitana de Belo Horizonte
Passos,-20.7193,-46.609,Sul/Sudoeste de Minas
Patis,-16.0773,-44.0787,Norte de Minas
Patos de Minas,-18.5699,-46.5013,Triângulo Mineiro/Alto Paranaíba
Patrocínio,-18.9379,-46.9934,Triângulo Mineiro/Alto Paranaíba
Patrocínio do Muriaé,-21.1544,-42.2125,Zona da Mata
Paula Cândido,-20.8754,-42.9752,Zona da Mata
Paulistas,-18.4276,-42.8628,Vale do Rio Doce
Pavão,-17.4267,-41.0035,Vale do Mucuri
Peçanha,-18.5441,-42.5583,Vale do Rio Doce
Pedra Azul,-16.0086,-41.2909,Jequitinhonha
Pedra Bonita,-20.5219,-42.3304,Zona da Mata
Pedra do Anta,-20.5968,-42.7123,Zona da Mata
Pedra do Indaiá,-20.2563,-45.2107,Oeste de Minas
Pedra Dourada,-20.8266,-42.1515,Zona da Mata
Pedralva,-22.2386,-45.4654,Sul/Sudoeste de Minas
Pedras de Maria da Cruz,-15.6032,-44.391,Norte de Minas
Pedrinópolis,-19.2241,-47.4579,Triângulo Mineiro/Alto Paranaíba
Pedro Leopoldo,-19.6308,-44.0383,Metropolitana de Belo Horizonte
Pedro Teixeira,-21.7076,-43.743,Zona da Mata
Pequeri,-21.8341,-43.1145,Zona da Mata
Pequi,-19.6284,-44.6604,Metropolitana de Belo Horizonte
Perdigão,-19.9411,-45.078,Oeste de Minas
Perdizes,-19.3434,-47.2963,Triângulo Mineiro/Alto Paranaíba
Perdões,-21.0932,-45.0896,Oeste de Minas
Periquito,-19.1573,-42.2333,Vale do Rio Doce
Pescador,-18.357,-41.6006,Vale do Rio Doce
Piau,-21.5096,-43.313,Zona da Mata
Piedade de Caratinga,-19.7593,-42.0756,Vale do Rio Doce
Piedade de Ponte Nova,-20.2438,-42.7379,Zona da Mata
Piedade do Rio Grande,-21.469,-44.1938,Campo das Vertentes
Piedade dos Gerais,-20.4715,-44.2243,Metropolitana de Belo Horizonte
Pimenta,-20.4827,-45.8049,Oeste de Minas
Pingo-d'Água,-19.7287,-42.4095,Vale do Rio Doce
Pintópolis,-16.0572,-45.1402,Norte de Minas
Piracema,-20.5089,-44.4783,Oeste de Minas
Pirajuba,-19.9092,-48.7027,Triângulo Mineiro/Alto Paranaíba
Piranga,-20.6834,-43.2967,Zona da Mata
Piranguçu,-22.5249,-45.4945,Sul/Sudoeste de Minas
Piranguinho,-22.395,-45.5324,Sul/Sudoeste de Minas
Pirapetinga,-21.6554,-42.3434,Zona da Mata
Pirapora,-17.3392,-44.934,Norte de Minas
Piraúba,-21.2825,-43.0172,Zona da Mata
Pitangui,-19.6741,-44.8964,Metropolitana de Belo Horizonte
Piumhi,-20.4762,-45.9589,Oeste de Minas
Planura,-20.1376,-48.7,Triângulo Mineiro/Alto Paranaíba
Poço Fundo,-21.78,-45.9658,Sul/Sudoeste de Minas
Poços de Caldas,-21.78,-46.5692,Sul/Sudoeste de Minas
Pocrane,-19.6208,-41.6334,Vale do Rio Doce
Pompéu,-19.2257,-45.0141,Central Mineira
Ponte Nova,-20.4111,-42.8978,Zona da Mata
Ponto Chique,-16.6282,-45.0588,Norte de Minas
Ponto dos Volantes,-16.7473,-41.5025,Jequitinhonha
Porteirinha,-15.7404,-43.0281,Norte de Minas
Porto Firme,-20.6642,-43.0834,Zona da Mata
Poté,-17.8077,-41.786,Vale do Mucuri
Pouso Alegre,-22.2266,-45.9389,Sul/Sudoeste de Minas
Pouso Alto,-22.1964,-44.9748,Sul/Sudoeste de Minas
Prados,-21.0597,-44.0778,Campo das Vertentes
Prata,-19.3086,-48.9276,Triângulo Mineiro/Alto Paranaíba
Pratápolis,-20.7411,-46.8624,Sul/Sudoeste de Minas
Pratinha,-19.739,-46.3755,Triângulo Mineiro/Alto Paranaíba
Presidente Bernardes,-20.7656,-43.1895,Zona da Mata
Presidente Juscelino,-18.6401,-44.06,Central Mineira
Presidente Kubitschek,-18.6193,-43.5628,Jequitinhonha
Presidente Olegário,-18.4096,-46.4165,Noroeste de Minas
Prudente de Morais,-19.4742,-44.1591,Metropolitana de Belo Horizonte
Quartel Geral,-19.2703,-45.5569,Central Mineira
Queluzito,-20.7416,-43.8851,Metropolitana de Belo Horizonte
Raposos,-19.9636,-43.8079,Metropolitana de Belo Horizonte
Raul Soares,-20.1061,-42.4502,Zona da Mata
Recreio,-21.5289,-42.4676,Zona da Mata
Reduto,-20.2401,-41.9848,Zona da Mata
Resende Costa,-20.9171,-44.2407,Campo das Vertentes
Resplendor,-19.3194,-41.2462,Vale do Rio Doce
Ressaquinha,-21.0642,-43.7598,Campo das Vertentes
Riachinho,-16.2258,-45.9888,Norte de Minas
Riacho dos Machados,-16.0091,-43.0488,Norte de Minas
Ribeirão das Neves,-19.7621,-44.0844,Metropolitana de Belo Horizonte
Ribeirão Vermelho,-21.1879,-45.0637,Campo das Vertentes
Rio Acima,-20.0876,-43.7878,Metropolitana de Belo Horizonte
Rio Casca,-20.2285,-42.6462,Zona da Mata
Rio do Prado,-16.6056,-40.5714,Jequitinhonha
Rio Doce,-20.2412,-42.8995,Zona da Mata
Rio Espera,-20.855,-43.4721,Zona da Mata
Rio Manso,-20.2666,-44.3069,Metropolitana de Belo Horizonte
Rio Novo,-21.4649,-43.1168,Zona da Mata
Rio Paranaíba,-19.1861,-46.2455,Triângulo Mineiro/Alto Paranaíba
Rio Pardo de Minas,-15.616,-42.5405,Norte de Minas
Rio Piracicaba,-19.9284,-43.1829,Metropolitana de Belo Horizonte
Rio Pomba,-21.2712,-43.1696,Zona da Mata
Rio Preto,-22.0861,-43.8293,Zona da Mata
Rio Vermelho,-18.2922,-43.0018,Metropolitana de Belo Horizonte
Ritápolis,-21.0276,-44.3204,Campo das Vertentes
Rochedo de Minas,-21.6284,-43.0165,Zona da Mata
Rodeiro,-21.2035,-42.8586,Zona da Mata
Romaria,-18.8838,-47.5782,Triângulo Mineiro/Alto Paranaíba
Rosário da Limeira,-20.9812,-42.5112,Zona da Mata
Rubelita,-16.4053,-42.261,Norte de Minas
Rubim,-16.3775,-40.5397,Jequitinhonha
Sabará,-19.884,-43.8263,Metropolitana de Belo Horizonte
Sabinópolis,-18.6653,-43.0752,Vale do Rio Doce
Sacramento,-19.8622,-47.4508,Triângulo Mineiro/Alto Paranaíba
Salinas,-16.1753,-42.2964,Norte de Minas
Salto da Divisa,-16.0063,-39.9391,Jequitinhonha
Santa Bárbara,-19.9604,-43.4101,Metropolitana de Belo Horizonte
Santa Bárbara do Leste,-19.9753,-42.1457,Vale do Rio Doce
Santa Bárbara do Monte Verde,-21.9592,-43.7027,Zona da Mata
Santa Bárbara do Tugúrio,-21.2431,-43.5607,Campo das Vertentes
Santa Cruz de Minas,-21.1241,-44.2202,Campo das Vertentes
Santa Cruz de Salinas,-16.0967,-41.7418,Norte de Minas
Santa Cruz do Escalvado,-20.2372,-42.8169,Zona da Mata
Santa Efigênia de Minas,-18.8235,-42.4388,Vale do Rio Doce
Santa Fé de Minas,-16.6859,-45.4102,Norte de Minas
Santa Helena de Minas,-16.9707,-40.6727,Vale do Mucuri
Santa Juliana,-19.3108,-47.5322,Triângulo Mineiro/Alto Paranaíba
Santa Luzia,-19.7548,-43.8497,Metropolitana de Belo Horizonte
Santa Margarida,-20.3839,-42.2519,Zona da Mata
Santa Maria de Itabira,-19.4431,-43.1064,Metropolitana de Belo Horizonte
Santa Maria do Salto,-16.2479,-40.1512,Jequitinhonha
Santa Maria do Suaçuí,-18.1896,-42.4139,Vale do Rio Doce
Santa Rita de Caldas,-22.0292,-46.3385,Sul/Sudoeste de Minas
Santa Rita de Ibitipoca,-21.5658,-43.9163,Zona da Mata
Santa Rita de Jacutinga,-22.1474,-44.0977,Zona da Mata
Santa Rita de Minas,-19.876,-42.1363,Vale do Rio Doce
Santa Rita do Itueto,-19.3576,-41.3821,Vale do Rio Doce
Santa Rita do Sapucaí,-22.2461,-45.7034,Sul/Sudoeste de Minas
Santa Rosa da Serra,-19.5186,-45.9611,Triângulo Mineiro/Alto Paranaíba
Santa Vitória,-18.8414,-50.1208,Triângulo Mineiro/Alto Paranaíba
Santana da Vargem,-21.2449,-45.5005,Sul/Sudoeste de Minas
Santana de Cataguases,-21.2893,-42.5524,Zona da Mata
Santana de Pirapama,-18.9962,-44.0409,Metropolitana de Belo Horizonte
Santana do Deserto,-21.9512,-43.1583,Zona da Mata
Santana do Garambéu,-21.5983,-44.105,Campo das Vertentes
Santana do Jacaré,-20.9007,-45.1285,Oeste de Minas
Santana do Manhuaçu,-20.1031,-41.9278,Zona da Mata
Santana do Paraíso,-19.3661,-42.5446,Vale do Rio Doce
Santana do Riacho,-19.1662,-43.722,Metropolitana de Belo Horizonte
Santana dos Montes,-20.7868,-43.6949,Metropolitana de Belo Horizonte
Santo Antônio do Amparo,-20.943,-44.9176,Oeste de Minas
Santo Antônio do Aventureiro,-21.7606,-42.8115,Zona da Mata
Santo Antônio do Grama,-20.3185,-42.6047,Zona da Mata
Santo Antônio do Itambé,-18.4609,-43.3006,Metropolitana de Belo Horizonte
Santo Antônio do Jacinto,-16.5332,-40.1817,Jequitinhonha
Santo Antônio do Monte,-20.085,-45.2947,Oeste de Minas
Santo Antônio do Retiro,-15.3393,-42.6171,Norte de Minas
Santo Antônio do Rio Abaixo,-19.2374,-43.2604,Metropolitana de Belo Horizonte
Santo Hipólito,-18.2968,-44.2229,Central Mineira
Santos Dumont,-21.4634,-43.5499,Zona da Mata
São Bento Abade,-21.5839,-45.0699,Sul/Sudoeste de Minas
São Brás do Suaçuí,-20.6242,-43.9515,Metropolitana de Belo Horizonte
São Domingos das Dores,-19.5246,-42.0106,Vale do Rio Doce
São Domingos do Prata,-19.8678,-42.971,Metropolitana de Belo Horizonte
São Félix de Minas,-18.5959,-41.4889,Vale do Rio Doce
São Francisco,-15.9514,-44.8593,Norte de Minas
São Francisco de Paula,-20.7036,-44.9838,Oeste de Minas
São Francisco de Sales,-19.8611,-49.7727,Triângulo Mineiro/Alto Paranaíba
São Francisco do Glória,-20.7923,-42.2673,Zona da Mata
São Geraldo,-20.9252,-42.8364,Zona da Mata
São Geraldo da Piedade,-18.8411,-42.2867,Vale do Rio Doce
São Geraldo do Baixio,-18.9097,-41.363,Vale do Rio Doce
São Gonçalo do Abaeté,-18.3315,-45.8265,Noroeste de Minas
São Gonçalo do Pará,-19.9822,-44.8593,Oeste de Minas
São Gonçalo do Rio Abaixo,-19.8221,-43.366,Metropolitana de Belo Horizonte
São Gonçalo do Rio Preto,-18.0025,-43.3854,Jequitinhonha
São Gonçalo do Sapucaí,-21.8932,-45.5893,Sul/Sudoeste de Minas
São Gotardo,-19.3087,-46.0465,Triângulo Mineiro/Alto Paranaíba
São João Batista do Glória,-20.635,-46.508,Sul/Sudoeste de Minas
São João da Lagoa,-16.8455,-44.3507,Norte de Minas
São João da Mata,-21.928,-45.9297,Sul/Sudoeste de Minas
São João da Ponte,-15.9271,-44.0096,Norte de Minas
São João das Missões,-14.8859,-44.0922,Norte de Minas
São João del Rei,-21.1311,-44.2526,Campo das Vertentes
São João do Manhuaçu,-20.3933,-42.1533,Zona da Mata
São João do Manteninha,-18.723,-41.1628,Vale do Rio Doce
São João do Oriente,-19.3384,-42.1575,Vale do Rio Doce
São João do Pacuí,-16.5373,-44.5134,Norte de Minas
São João do Paraíso,-15.3168,-42.0213,Norte de Minas
São João Evangelista,-18.548,-42.7655,Vale do Rio Doce
São João Nepomuceno,-21.5381,-43.0069,Zona da Mata
São Joaquim de Bicas,-20.048,-44.2749,Metropolitana de Belo Horizonte
São José da Barra,-20.7178,-46.313,Sul/Sudoeste de Minas
São José da Lapa,-19.6971,-43.9586,Metropolitana de Belo Horizonte
São José da Safira,-18.3243,-42.1431,Vale do Rio Doce
São José da Varginha,-19.7006,-44.556,Metropolitana de Belo Horizonte
São José do Alegre,-22.3243,-45.5258,Sul/Sudoeste de Minas
São José do Divino,-18.4793,-41.3907,Vale do Rio Doce
São José do Goiabal,-19.9214,-42.7035,Metropolitana de Belo Horizonte
São José do Jacuri,-18.281,-42.6729,Vale do Rio Doce
São José do Mantimento,-20.0058,-41.7486,Zona da Mata
São Lourenço,-22.1166,-45.0506,Sul/Sudoeste de Minas
São Miguel do Anta,-20.7067,-42.7174,Zona da Mata
São Pedro da União,-21.131,-46.6123,Sul/Sudoeste de Minas
São Pedro do Suaçuí,-18.3609,-42.5981,Vale do Rio Doce
São Pedro dos Ferros,-20.1732,-42.5251,Zona da Mata
São Romão,-16.3641,-45.0749,Norte de Minas
São Roque de Minas,-20.249,-46.3639,Oeste de Minas
São Sebastião da Bela Vista,-22.1583,-45.7546,Sul/Sudoeste de Minas
São Sebastião da Vargem Alegre,-19.7477,-43.3679,Zona da Mata
São Sebastião do Anta,-19.5064,-41.985,Vale do Rio Doce
São Sebastião do Maranhão,-18.0873,-42.5659,Vale do Rio Doce
São Sebastião do Oeste,-20.2758,-45.0063,Oeste de Minas
São Sebastião do Paraíso,-20.9167,-46.9837,Sul/Sudoeste de Minas
São Sebastião do Rio Preto,-19.2959,-43.1757,Metropolitana de Belo Horizonte
São Sebastião do Rio Verde,-22.2183,-44.9761,Sul/Sudoeste de Minas
São Thomé das Letras,-21.7218,-44.9849,
São Tiago,-20.9075,-44.5098,Campo das Vertentes
São Tomás de Aquino,-20.7791,-47.0962,Sul/Sudoeste de Minas
São Vicente de Minas,-21.7042,-44.4431,Sul/Sudoeste de Minas
Sapucaí-Mirim,-22.7409,-45.738,Sul/Sudoeste de Minas
Sardoá,-18.7828,-42.3629,Vale do Rio Doce
Sarzedo,-20.0367,-44.1446,Metropolitana de Belo Horizonte
Sem-Peixe,-20.1008,-42.8483,Zona da Mata
Senador Amaral,-22.5869,-46.1763,Sul/Sudoeste de Minas
Senador Cortes,-21.7986,-42.9424,Zona da Mata
Senador Firmino,-20.9158,-43.0904,Zona da Mata
Senador José Bento,-22.1633,-46.1792,Sul/Sudoeste de Minas
Senador Modestino Gonçalves,-17.9465,-43.2172,Jequitinhonha
Senhora de Oliveira,-20.7972,-43.3394,Zona da Mata
Senhora do Porto,-18.8909,-43.0799,Vale do Rio Doce
Senhora dos Remédios,-21.0351,-43.5812,Campo das Vertentes
Sericita,-20.4748,-42.4828,Zona da Mata
Seritinga,-21.9134,-44.518,Sul/Sudoeste de Minas
Serra Azul de Minas,-18.3602,-43.1675,Metropolitana de Belo Horizonte
Serra da Saudade,-19.4447,-45.795,Central Mineira
Serra do Salitre,-19.1083,-46.6961,Triângulo Mineiro/Alto Paranaíba
Serra dos Aimorés,-17.7872,-40.2453,Vale do Mucuri
Serrania,-21.5441,-46.0417,Sul/Sudoeste de Minas
Serranópolis de Minas,-15.8176,-42.8732,Norte de Minas
Serranos,-21.8857,-44.5125,Sul/Sudoeste de Minas
Serro,-18.5991,-43.3744,Metropolitana de Belo Horizonte
Sete Lagoas,-19.4569,-44.2413,Metropolitana de Belo Horizonte
Setubinha,-17.6002,-42.1587,Vale do Mucuri
Silveirânia,-21.1615,-43.2128,Zona da Mata
Silvianópolis,-22.0274,-45.8385,Sul/Sudoeste de Minas
Simão Pereira,-21.964,-43.3088,Zona da Mata
Simonésia,-20.1341,-42.0091,Zona da Mata
Sobrália,-19.2345,-42.0998,Vale do Rio Doce
Soledade de Minas,-22.0554,-45.0464,Sul/Sudoeste de Minas
Tabuleiro,-21.3632,-43.2381,Zona da Mata
Taiobeiras,-15.8106,-42.2259,Norte de Minas
Taparuba,-19.7621,-41.608,Vale do Rio Doce
Tapira,-19.9166,-46.8264,Triângulo Mineiro/Alto Paranaíba
Tapiraí,-19.8936,-46.0221,Oeste de Minas
Taquaraçu de Minas,-19.6652,-43.6922,Metropolitana de Belo Horizonte
Tarumirim,-19.2835,-42.0097,Vale do Rio Doce
Teixeiras,-20.6561,-42.8564,Zona da Mata
Teófilo Otoni,-17.8595,-41.5087,Vale do Mucuri
Timóteo,-19.5811,-42.6471,Vale do Rio Doce
Tiradentes,-21.1102,-44.1744,Campo das Vertentes
Tiros,-19.0037,-45.9626,Triângulo Mineiro/Alto Paranaíba
Tocantins,-21.1774,-43.0127,Zona da Mata
Tocos do Moji,-22.3698,-46.0971,Sul/Sudoeste de Minas
Toledo,-22.7421,-46.3728,Sul/Sudoeste de Minas
Tombos,-20.9086,-42.0228,Zona da Mata
Três Corações,-21.6921,-45.2511,Sul/Sudoeste de Minas
Três Marias,-18.2048,-45.2473,Central Mineira
Três Pontas,-21.3694,-45.5109,Sul/Sudoeste de Minas
Tumiritinga,-18.9844,-41.6527,Vale do Rio Doce
Tupaciguara,-18.5866,-48.6985,Triângulo Mineiro/Alto Paranaíba
Turmalina,-17.2828,-42.7285,Jequitinhonha
Turvolândia,-21.8733,-45.7859,Sul/Sudoeste de Minas
Ubá,-21.1204,-42.9359,Zona da Mata
Ubaí,-16.2885,-44.7783,Norte de Minas
Ubaporanga,-19.6351,-42.1059,Vale do Rio Doce
Uberaba,-19.7472,-47.9381,Triângulo Mineiro/Alto Paranaíba
Uberlândia,-18.9141,-48.2749,Triângulo Mineiro/Alto Paranaíba
Umburatiba,-17.2548,-40.5779,Vale do Mucuri
Unaí,-16.3592,-46.9022,Noroeste de Minas
União de Minas,-19.5299,-50.338,Triângulo Mineiro/Alto Paranaíba
Uruana de Minas,-16.0634,-46.2443,Noroeste de Minas
Urucânia,-20.3521,-42.737,Zona da Mata
Urucuia,-16.1244,-45.7352,Norte de Minas
Vargem Alegre,-19.5988,-42.2949,Vale do Rio Doce
Vargem Bonita,-20.3333,-46.3688,Oeste de Minas
Vargem Grande do Rio Pardo,-15.3987,-42.3085,Norte de Minas
Varginha,-21.5556,-45.4364,Sul/Sudoeste de Minas
Varjão de Minas,-18.3741,-46.0313,Noroeste de Minas
Várzea da Palma,-17.5944,-44.7226,Norte de Minas
Varzelândia,-15.6992,-44.0278,Norte de Minas
Vazante,-17.9827,-46.9088,Noroeste de Minas
Verdelândia,-15.5845,-43.6121,Norte de Minas
Veredinha,-17.3974,-42.7307,Jequitinhonha
Veríssimo,-19.6657,-48.3118,Triângulo Mineiro/Alto Paranaíba
Vermelho Novo,-20.0406,-42.2688,Zona da Mata
Vespasiano,-19.6883,-43.9239,Metropolitana de Belo Horizonte
Viçosa,-20.7559,-42.8742,Zona da Mata
Vieiras,-20.867,-42.2401,Zona da Mata
Virgem da Lapa,-16.807,-42.3431,Jequitinhonha
Virgínia,-22.3264,-45.0965,Sul/Sudoeste de Minas
Virginópolis,-18.8154,-42.7015,Vale do Rio Doce
Virgolândia,-18.4738,-42.3067,Vale do Rio Doce
Visconde do Rio Branco,-21.0127,-42.8361,Zona da Mata
Volta Grande,-21.7671,-42.5375,Zona da Mata
Wenceslau Braz,-22.5368,-45.3626,Sul/Sudoeste de Minas
